Customer_SK,Customer Id,First Name,Last Name,City,Country,Phone 1,Phone 2,Email
1,EB54EF1154C3A78,Heather,Callahan,Lake Jeffborough,Norway,043-797-5229,915.112.1727,urangel@espinoza-francis.net
2,10dAcafEBbA5FcA,Kristina,Ferrell,Aaronville,Andorra,932-062-1802,(209)172-7124x3651,xreese@hall-donovan.com
3,67DAB15Ebe4BE4a,Briana,Andersen,East Jordan,Nepal,8352752061,(567)135-1918,haleybraun@blevins-sexton.com
4,6d350C5E5eDB4EE,Patty,Ponce,East Kristintown,Northern Mariana Islands,302.398.3833,196-189-7767x770,hohailey@anthony.com
5,5820deAdCF23EFe,Kathleen,Mccormick,Andresmouth,Macao,001-184-153-9683x1497,552.051.2979x342,alvaradojesse@rangel-shields.com
6,E1CDEaC63fDd5aA,Trevor,Lee,Lake Madelineburgh,Senegal,+1-134-348-0265x9132,-5361,briangriffin@chang.org
7,3e1187fCcebC8d2,Mathew,Hoffman,West Ralph,Uzbekistan,842.380.1168,(178)178-5447x32603,bauergerald@morrison.com
8,47C5cEE243c9A7b,Glenn,Wiggins,Ambershire,Falkland Islands (Malvinas),245-207-5608x563,8806867785,changkellie@howell.com
9,cacaD68a5e4BF4b,Bruce,Payne,Barrettview,Zimbabwe,391.313.4649x42910,166.227.5055,mayerjerome@hurst-graham.net
10,436b9c41cfb1fa3,Brendan,Franco,New Rickey,Ukraine,001-315-224-3556,254-621-7128x7573,kentryan@stone-oneill.com
11,9653ca648e2E414,Martin,Hawkins,Lake Bobton,Mauritania,001-402-567-1320,732-908-7945,danielbuckley@hatfield.info
12,e586A2D67bcdB48,Sara,Shaffer,Orrland,Gambia,4229986278,001-028-824-7381x56737,gabrielaleach@rose.net
13,c388ECa44FFe37c,Dave,Moran,South Elizabeth,Sweden,575.006.7250x9748,262-029-1096,cartermallory@chung.com
14,f8dddbf9CD6FF92,Glen,Hammond,Pamelatown,Netherlands,001-887-543-3745x055,001-955-888-1987x09071,lweeks@hooper.org
15,86Df56BFCc0a7CA,Catherine,Blackwell,Lake Seth,Dominican Republic,001-915-961-8896x5744,(310)185-3032x0974,calhounalisha@hardin.net
16,2cfDE68A372cC7A,Larry,Newton,Mannstad,Belize,(216)514-1412,001-449-365-5864x147,ypayne@gaines.biz
17,14CBc0BDfbE6FEA,Danny,Archer,East Diamond,Cook Islands,8416559700,001-212-234-3412x91164,nwu@brady-chen.com
